ingestion-service-1  | INFO:     Started server process [1]
ingestion-service-1  | INFO:     140.82.114.6:51116 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:51116 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:51116 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:43464 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:45056 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:52574 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:52574 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:61003 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:61003 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:47812 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:61003 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:61003 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:61003 - "OPTIONS /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:61003 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:39332 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:60572 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:21438 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:21438 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:49043 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:49043 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:46962 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:49043 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:49043 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:49043 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:56814 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:35354 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:52850 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:52850 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:29930 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:29930 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:52658 - "GET /health HTTP/1.1" 200 OK
